wyniki testów implementacji w pythonie dla parametrów

points_count = 10
iterations = 100
upper_bound = 10
lower_bound = 0

/home/rafal/.local/share/virtualenvs/em_alg-GRKmQVVP/bin/python /home/rafal/Workspace/magisterka/em_alg/em_qap_test_all.py
test case    optimal      best found   diff[%]      ex. time[s]
esc32a       130          252          93.85%       16.65   
esc32g       6            6            0.0%         18.57   
esc16e       28           30           7.14%        4.43    
esc16i       14           14           0.0%         4.7     
esc16b       292          292          0.0%         4.3     
esc32b       168          284          69.05%       15.88   
esc64a       116          136          17.24%       62.28   
esc16f       0            0            0%           5.04    
esc16g       26           26           0.0%         4.44    
esc16h       996          996          0.0%         4.39    
esc16a       68           70           2.94%        4.18    
esc32d       200          228          14.0%        17.55   
esc16d       16           18           12.5%        3.85    
esc16j       8            8            0.0%         4.18    
esc128       64           160          150.0%       285.06  
esc16c       160          160          0.0%         3.79    
esc32c       642          642          0.0%         17.41   
esc32e       2            2            0.0%         18.11   
els19        17212548     20497228     19.08%       5.71    
lipa20a      3683         3827         3.91%        5.66    
lipa30a      13178        13566        2.94%        12.72   
lipa60b      2520135      3156597      25.26%       56.63   
lipa90b      12490441     15816877     26.63%       126.74  
lipa70b      4603200      5753584      24.99%       81.38   
lipa40a      31538        32205        2.11%        23.57   
lipa80b      7763962      9746475      25.53%       96.85   
lipa30b      151426       183803       21.38%       14.37   
lipa50a      62093        63280        1.91%        37.35   
lipa60a      107218       109212       1.86%        56.09   
lipa50b      1210244      1484867      22.69%       36.24   
lipa20b      27076        32367        19.54%       5.69    
lipa40b      476581       589329       23.66%       23.07   
lipa90a      360630       365288       1.29%        131.33  
lipa70a      169755       172533       1.64%        78.93   
lipa80a      253195       256883       1.46%        99.6    
nug24        3488         3924         12.5%        8.8     
nug20        2570         2810         9.34%        5.88    
nug16a       1610         1746         8.45%        3.79    
nug14        1014         1050         3.55%        3.25    
nug16b       1240         1370         10.48%       3.91    
nug12        578          592          2.42%        2.37    
nug22        3596         3864         7.45%        7.84    
nug21        2438         2604         6.81%        6.4     
nug30        6124         6808         11.17%       13.97   
nug27        5234         5924         13.18%       11.1    
nug17        1732         1872         8.08%        4.39    
nug18        1930         2102         8.91%        4.72    
nug15        1150         1224         6.43%        3.49    
nug25        3744         4118         9.99%        8.91    
nug28        5166         5844         13.12%       13.25   
had20        6922         7106         2.66%        5.84    
had14        2724         2724         0.0%         3.17    
had16        3720         3726         0.16%        4.25    
had12        1652         1652         0.0%         2.42    
had18        5358         5400         0.78%        4.88    
bur26f       3782044      3815965      0.9%         9.9     
bur26d       3821225      3870052      1.28%        9.61    
bur26c       5426795      5452927      0.48%        10.06   
bur26b       3817852      3851009      0.87%        10.27   
bur26g       10117172     10243183     1.25%        9.84    
bur26e       5386879      5498280      2.07%        10.59   
bur26a       5426670      5476883      0.93%        10.1    
bur26h       7098658      7191041      1.3%         9.7     
chr18a       11098        29474        165.58%      4.69    
chr15c       9504         13108        37.92%       3.34    
chr12c       11156        13940        24.96%       2.34    
chr15a       9896         14274        44.24%       3.59    
chr12b       9742         16846        72.92%       2.27    
chr20c       14142        35086        148.1%       6.01    
chr15b       7990         15796        97.7%        3.49    
chr22a       6156         7962         29.34%       7.62    
chr20a       2192         4980         127.19%      5.93    
chr25a       3796         8296         118.55%      8.93    
chr18b       1534         1754         14.34%       4.97    
chr20b       2298         3136         36.47%       5.88    
chr22b       6194         8268         33.48%       7.34    
chr12a       9552         15092        58.0%        2.39    

Process finished with exit code 0
